City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cabudare,VE,86.0,light rain,10.03,-69.09,Urbanización Ribera Santa Lucia
14,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
16,Jamestown,US,84.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
17,Mitsamiouli,KM,76.87,scattered clouds,-11.38,43.28,Foyer ADM
18,Dhidhdhoo,MV,83.64,clear sky,6.88,73.1,Dhidhoo beach
19,Nantucket,US,77.0,clear sky,41.28,-70.1,Jared Coffin House
20,Methoni,GR,75.2,clear sky,36.82,21.7,Methoni Beach Hotel
22,Kollam,IN,82.4,mist,8.88,76.6,The Raviz Ashtamudi
23,Djibo,BF,80.26,few clouds,14.1,-1.63,Centre Des Ressources DPENA
26,Bardiyah,LY,76.1,clear sky,31.76,25.09,بورتو بردية
27,Umm Lajj,SA,83.93,clear sky,25.02,37.27,Moon light Furnished Units
33,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
39,Bandarbeyla,SO,76.57,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
40,Parrita,CR,75.2,scattered clouds,9.52,-84.32,Beso del Viento
45,Hithadhoo,MV,82.85,few clouds,-0.6,73.08,Scoop Guest House
53,Kalmunai,LK,80.92,scattered clouds,7.42,81.82,VS Villa
58,Mangrol,IN,82.2,light rain,21.12,70.12,Hotel The Royal Honours
60,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
61,Marblehead,US,82.99,broken clouds,42.5,-70.86,Hawthorne Hotel
66,Mana,GF,84.63,few clouds,5.66,-53.78,LE SAMANA
75,Ribeira Grande,PT,75.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
76,Hamilton,US,82.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
78,Puerto Leguizamo,CO,78.39,broken clouds,-0.19,-74.78,la casona de juancho
81,Maragogi,BR,75.51,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
82,Ariquemes,BR,87.75,clear sky,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
86,Kismayo,SO,76.82,scattered clouds,-0.36,42.55,Agan-Hotel
91,Cayenne,GF,87.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
92,Weligama,LK,79.09,light rain,5.97,80.42,Weligama Bay Resort
93,Eyl,SO,77.61,overcast clouds,7.98,49.82,Amiin Hotel
94,Traverse City,US,87.8,broken clouds,44.76,-85.62,Bayshore Resort
98,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
100,Marsh Harbour,BS,85.14,few clouds,26.54,-77.06,Abaco Beach Resort
101,Fruitville,US,87.8,few clouds,27.33,-82.46,Homewood Suites by Hilton Sarasota
102,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
103,Korla,CN,75.72,clear sky,41.76,86.15,Gulisitan Hotel
110,Bloomingdale,US,87.8,light rain,27.89,-82.24,Travel Club for Free
112,Paita,PE,75.2,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
117,Real,PH,80.6,overcast clouds,14.66,121.6,Aranda beach resort
119,Guane,CU,82.53,moderate rain,22.2,-84.09,base de Campismo LosPortales de Guane
122,Key Largo,US,87.01,light rain,25.09,-80.45,Bayside Inn Key Largo
123,El Alto,PE,75.2,broken clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
125,Sao Filipe,CV,79.36,scattered clouds,14.9,-24.5,Tortuga B&B
127,Sompeta,IN,80.71,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
128,Hansi,IN,83.62,few clouds,29.1,75.97,Green Valley Lodge
130,Anzio,IT,79.0,clear sky,41.49,12.62,Hotel Lido Garda
131,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
132,Zinder,NE,87.06,clear sky,13.81,8.99,Sountalma Ousseini
134,Piacabucu,BR,75.31,broken clouds,-10.41,-36.43,Piaçabuçu News
136,Nieuw Nickerie,SR,85.33,clear sky,5.95,-56.98,Ishwardat Inn
137,Naifaru,MV,83.84,clear sky,5.44,73.37,Naifaru Residence Guest House
138,Tabou,CI,75.74,broken clouds,4.42,-7.35,hotêl doufoulougou
140,Lixourion,GR,80.6,clear sky,38.2,20.43,Summery Hotel
143,Clearwater,US,86.0,light rain,27.97,-82.8,Shephard's Beach Resort
144,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
145,Pasni,PK,83.17,overcast clouds,25.26,63.47,3G hotel pasni
151,Victoria,HK,82.0,few clouds,22.29,114.16,Mini Hotel Central
152,Bangui,CF,78.8,few clouds,4.36,18.55,SAM HOTEL
155,Ponta Do Sol,PT,75.2,scattered clouds,32.67,-17.1,Hotel do Campo
156,San Andres,CO,84.2,scattered clouds,12.58,-81.7,Hotel Arena Blanca
157,Sakakah,SA,86.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
159,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
160,Aksu,CN,75.4,clear sky,41.12,80.26,Pudong Holiday Hotel
164,Bristol,US,87.8,few clouds,41.83,-71.17,
