City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Torbay,40,CA,scattered clouds,52,47.67,-52.73,71.01,8.05
1,Saint-Philippe,33,RE,scattered clouds,63,-21.36,55.77,66.2,6.93
2,Skelleftea,0,SE,clear sky,88,64.75,20.95,64.4,8.05
3,Cabudare,3,VE,light rain,51,10.03,-69.09,86.0,17.22
4,Cassilandia,39,BR,scattered clouds,35,-19.11,-51.73,73.53,7.11
5,Saldanha,0,ZA,clear sky,82,-33.01,17.94,55.4,4.7
6,Tarut,100,SA,overcast clouds,43,26.57,50.04,91.4,4.7
7,Mafeteng,0,LS,clear sky,61,-29.82,27.24,42.53,2.82
8,Arraial Do Cabo,75,BR,broken clouds,60,-22.97,-42.03,68.0,12.75
9,Antalaha,1,MG,clear sky,81,-14.9,50.28,67.01,7.78
10,Kabompo,0,ZM,clear sky,35,-13.59,24.2,66.34,6.11
11,Grand Gaube,3,MU,clear sky,77,-20.01,57.66,69.01,3.0
12,Cidreira,0,BR,clear sky,63,-30.18,-50.21,56.14,6.15
13,Benguela,9,AO,clear sky,85,-12.58,13.41,68.5,3.11
14,Nouadhibou,0,MR,clear sky,78,20.93,-17.03,75.2,17.22
15,Saint-Junien,20,FR,few clouds,68,45.88,0.9,66.2,6.93
16,Jamestown,75,US,broken clouds,47,42.1,-79.24,84.0,8.05
17,Mitsamiouli,42,KM,scattered clouds,72,-11.38,43.28,76.87,3.11
18,Dhidhdhoo,4,MV,clear sky,70,6.88,73.1,83.64,6.55
19,Nantucket,1,US,clear sky,78,41.28,-70.1,77.0,10.29
20,Methoni,0,GR,clear sky,53,36.82,21.7,75.2,9.64
21,Skibbereen,75,IE,broken clouds,87,51.55,-9.27,59.0,12.75
22,Kollam,20,IN,mist,88,8.88,76.6,82.4,3.36
23,Djibo,24,BF,few clouds,68,14.1,-1.63,80.26,7.58
24,Goundi,99,TD,overcast clouds,95,9.36,17.37,72.25,2.98
25,Punta Arenas,40,CL,scattered clouds,65,-53.15,-70.92,46.4,23.04
26,Bardiyah,0,LY,clear sky,75,31.76,25.09,76.1,9.22
27,Umm Lajj,0,SA,clear sky,63,25.02,37.27,83.93,6.11
28,Carndonagh,15,IE,few clouds,95,55.25,-7.27,55.2,8.28
29,Qaanaaq,100,GL,overcast clouds,81,77.48,-69.36,38.26,2.26
30,Port Elizabeth,0,ZA,clear sky,76,-33.92,25.57,55.4,2.24
31,Ushuaia,40,AR,shower rain,83,-54.8,-68.3,44.6,17.22
32,Cape Town,1,ZA,clear sky,93,-33.93,18.42,55.99,2.24
33,Touros,40,BR,scattered clouds,69,-5.2,-35.46,80.6,16.11
34,Rawson,0,AR,clear sky,26,-43.3,-65.1,66.85,9.28
35,Japura,100,ID,light rain,95,-0.32,102.35,74.55,1.81
36,Veisiejai,99,LT,overcast clouds,89,54.1,23.7,68.88,2.73
37,Kharp,88,RU,overcast clouds,78,66.8,65.81,52.34,10.27
38,Coihaique,75,CL,broken clouds,66,-45.58,-72.07,50.0,10.29
39,Bandarbeyla,32,SO,scattered clouds,76,9.49,50.81,76.57,32.17
40,Parrita,40,CR,scattered clouds,73,9.52,-84.32,75.2,6.93
41,Araouane,96,ML,overcast clouds,15,18.9,-3.53,104.16,16.11
42,Moose Factory,40,CA,scattered clouds,72,51.26,-80.61,66.2,9.17
43,Dindori,84,IN,broken clouds,94,22.95,81.08,70.63,4.92
44,Mahebourg,75,MU,broken clouds,88,-20.41,57.7,69.8,12.75
45,Hithadhoo,17,MV,few clouds,81,-0.6,73.08,82.85,14.63
46,Taltal,50,CL,scattered clouds,64,-25.4,-70.48,58.23,3.13
47,Tasiilaq,20,GL,few clouds,59,65.61,-37.64,48.2,10.29
48,Ostrovnoy,0,RU,clear sky,74,68.05,39.51,59.74,16.96
49,Villa Carlos Paz,0,AR,clear sky,13,-31.42,-64.5,68.0,24.16
50,Busselton,69,AU,broken clouds,85,-33.65,115.33,50.0,11.21
51,Hofn,79,IS,broken clouds,67,64.25,-15.21,50.86,4.72
52,Castro,30,BR,scattered clouds,73,-24.79,-50.01,52.86,7.29
53,Kalmunai,35,LK,scattered clouds,74,7.42,81.82,80.92,14.67
54,Kalevala,94,RU,overcast clouds,74,65.2,31.17,60.17,8.93
55,Bam,71,IR,broken clouds,22,29.11,58.36,94.96,11.23
56,Muros,0,ES,clear sky,80,42.78,-9.06,66.99,1.99
57,Hermanus,4,ZA,clear sky,85,-34.42,19.23,57.99,1.99
58,Mangrol,100,IN,light rain,85,21.12,70.12,82.2,18.88
59,Mar Del Plata,0,AR,clear sky,31,-38.0,-57.56,60.8,16.11
60,Los Llanos De Aridane,5,ES,clear sky,83,28.66,-17.92,75.2,16.11
61,Marblehead,75,US,broken clouds,61,42.5,-70.86,82.99,9.17
62,Port Alfred,0,ZA,clear sky,62,-33.59,26.89,61.61,7.45
63,Saint-Augustin,96,CA,overcast clouds,64,51.23,-58.65,64.38,4.23
64,Bredasdorp,0,ZA,clear sky,82,-34.53,20.04,57.2,11.41
65,Grindavik,0,IS,clear sky,87,63.84,-22.43,51.8,12.75
