City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-06-11 18:54:19,-33.918,25.5701,62.89,59,100,3.44
1,San Patricio,US,2022-06-11 18:55:18,28.017,-97.5169,98.08,29,2,15.61
2,Gadwal,IN,2022-06-11 18:55:19,16.2333,77.8,84.7,57,94,16.67
3,Qaanaaq,GL,2022-06-11 18:51:47,77.484,-69.3632,30.24,72,100,2.37
4,Phrae,TH,2022-06-11 18:55:19,18.0833,100.0,72.1,91,80,2.42
5,Tiksi,RU,2022-06-11 18:55:20,71.6872,128.8694,37.87,76,94,7.18
6,Cape Town,ZA,2022-06-11 18:55:21,-33.9258,18.4232,69.28,44,0,8.01
7,Codrington,AU,2022-06-11 18:55:21,-38.2667,141.9667,52.25,75,100,18.57
8,Vaini,TO,2022-06-11 18:55:22,-21.2,-175.2,73.56,100,40,4.61
9,Ushuaia,AR,2022-06-11 18:50:59,-54.8,-68.3,40.66,87,75,5.75
10,Tukrah,LY,2022-06-11 18:55:22,32.5341,20.5791,72.97,81,0,14.63
11,Bethel,US,2022-06-11 18:50:34,41.3712,-73.414,77.36,57,0,1.01
12,Avarua,CK,2022-06-11 18:55:23,-21.2078,-159.775,77.05,61,75,5.75
13,Arraial Do Cabo,BR,2022-06-11 18:55:23,-22.9661,-42.0278,67.86,83,100,9.22
14,Atuona,PF,2022-06-11 18:55:24,-9.8,-139.0333,77.5,67,7,14.23
15,Metro,ID,2022-06-11 18:55:24,-5.1131,105.3067,74.21,93,100,5.17
16,Kuusamo,FI,2022-06-11 18:55:25,65.9667,29.1833,64.44,59,0,6.91
17,Tuktoyaktuk,CA,2022-06-11 18:55:25,69.4541,-133.0374,42.8,75,75,10.36
18,Hobart,AU,2022-06-11 18:50:30,-42.8794,147.3294,40.86,86,75,18.41
19,Kirovskiy,RU,2022-06-11 18:55:26,45.0917,133.5136,51.49,90,65,2.93
20,Hilo,US,2022-06-11 18:53:15,19.7297,-155.09,81.28,83,100,19.57
21,Yarmouth,US,2022-06-11 18:55:27,41.7057,-70.2286,77.25,50,0,11.01
22,Harnosand,SE,2022-06-11 18:55:27,62.6323,17.9379,62.6,65,79,8.3
23,Rikitea,PF,2022-06-11 18:55:27,-23.1203,-134.9692,74.35,78,13,10.51
24,Yellowknife,CA,2022-06-11 18:50:40,62.456,-114.3525,66.72,59,40,18.41
25,New Norfolk,AU,2022-06-11 18:55:28,-42.7826,147.0587,40.5,84,100,3.0
26,Paamiut,GL,2022-06-11 18:55:29,61.994,-49.6678,41.27,78,100,2.64
27,Sankt Florian,AT,2022-06-11 18:55:30,48.2057,14.3784,73.74,46,20,6.91
